Part,Color,Quantity,Is Spare
2465,0,1,False
3659,0,4,False
6091,0,4,False
44126,0,2,False
3937,0,2,False
2654,0,1,False
3747b,0,2,False
3705,0,3,False
3706,0,3,False
32184,0,4,False
62462,0,4,False
2780,0,51,False
6628,0,4,False
3069b,0,4,False
3068b,0,1,False
90498,0,1,False
61485,0,1,False
3004,1,8,False
3622,1,2,False
3010,1,2,False
3001,1,6,False
4070,1,2,False
6134,1,2,False
3023,1,7,False
3623,1,4,False
3022,1,9,False
3020,1,1,False
3795,1,2,False
3031,1,2,False
4081b,1,4,False
4085c,1,4,False
48336,1,1,False
54200,1,2,False
85984,1,2,False
3660,1,4,False
3701,1,4,False
4274,1,21,False
6558,1,24,False
63864,1,2,False
3068b,1,2,False
2412b,1,4,False
3005,272,17,False
3004,272,16,False
3010,272,1,False
87544,272,4,False
3024,272,40,False
3023,272,27,False
3623,272,13,False
3710,272,5,False
2420,272,19,False
3021,272,11,False
3020,272,6,False
87580,272,1,False
3038,272,2,False
50950,272,4,False
3070b,272,6,False
3069b,272,4,False
6636,272,5,False
4162,272,3,False
3004,72,4,False
59900,72,1,False
3020,72,1,False
3032,72,2,False
4032a,72,2,False
2654,72,16,False
60478,72,2,False
61409,72,1,False
87083,72,7,False
59426,72,2,False
41239,72,2,False
60483,72,2,False
40490,72,6,False
6541,72,12,False
32000,72,4,False
3647,72,4,False
32002,72,4,False
2431,72,8,False
3068b,72,2,False
12825,72,6,False
50745,72,4,False
6587,28,9,False
53586,179,2,False
3005,2,8,False
3010,2,5,False
3001,2,2,False
4070,2,8,False
3023,2,5,False
3710,2,7,False
3460,2,6,False
4032a,2,3,False
92690,71,2,False
30374,71,2,False
63965,71,2,False
3005,71,13,False
3004,71,13,False
3245c,71,3,False
3622,71,1,False
3008,71,4,False
3003,71,4,False
2357,71,11,False
3007,71,6,False
30367cpr0006,71,1,False
60476,71,4,False
4070,71,2,False
44359,71,2,False
64644,71,2,False
6134,71,2,False
6231,71,1,False
3024,71,9,False
4477,71,2,False
3023,71,53,False
3623,71,15,False
3710,71,26,False
3666,71,22,False
3460,71,2,False
3022,71,16,False
2420,71,48,False
3021,71,2,False
3020,71,5,False
3795,71,13,False
3034,71,8,False
3035,71,1,False
6141,71,70,False
60474,71,2,False
6019,71,2,False
3794b,71,4,False
60478,71,10,False
4697b,71,2,False
85984,71,2,False
3040b,71,4,False
60481,71,3,False
50950,71,4,False
4287b,71,4,False
3665,71,4,False
4599b,71,1,False
4519,71,10,False
59443,71,4,False
32278,71,6,False
43857,71,2,False
32523,71,2,False
6632,71,8,False
60484,71,4,False
3700,71,3,False
32000,71,1,False
3701,71,2,False
32324,71,2,False
32123b,71,4,False
2723,71,3,False
32187,71,3,False
3743,71,8,False
4274,71,2,False
61184,71,5,False
62462,71,4,False
3673,71,8,False
3069b,71,2,False
63864,71,5,False
2431,71,1,False
4150,71,2,False
12825,71,6,False
2412b,71,24,False
64567,71,2,False
30503,71,4,False
3004,25,4,False
63965,297,2,False
6141,297,5,False
3008,4,2,False
3002,4,4,False
87087,4,3,False
3023,4,1,False
3710,4,4,False
3021,4,4,False
3660,4,4,False
32062,4,14,False
32184,4,8,False
41678,4,1,False
32064b,4,8,False
3894,4,4,False
3713,4,2,False
62462,4,2,False
3738,4,1,False
758c02,70,4,False
3460,70,2,False
6141,70,10,False
2458,19,4,False
3749,19,2,False
3700,19,2,False
3024,47,2,False
6141,47,1,False
6141,34,5,False
6141,41,1,False
6141,36,7,False
44728,15,12,False
3005,15,14,False
2453b,15,2,False
6111,15,5,False
3004,15,46,False
3245c,15,5,False
2454a,15,11,False
3622,15,28,False
3010,15,10,False
3009,15,8,False
3003,15,14,False
2357,15,22,False
30145,15,2,False
3002,15,1,False
3001,15,5,False
2456,15,4,False
3307,15,2,False
6091,15,14,False
33243,15,8,False
6191,15,8,False
3062b,15,4,False
30361cpr0004,15,1,False
2921,15,4,False
87087,15,21,False
52107,15,20,False
30237a,15,2,False
73983,15,4,False
30362,15,2,False
6231,15,2,False
3024,15,44,False
4477,15,7,False
60479,15,6,False
3023,15,11,False
3623,15,28,False
3710,15,22,False
3666,15,47,False
3832,15,4,False
3022,15,16,False
2420,15,44,False
3021,15,30,False
3020,15,10,False
3795,15,18,False
3034,15,2,False
2639,15,4,False
3032,15,7,False
3794b,15,38,False
63868,15,4,False
32028,15,16,False
2444,15,8,False
85543,15,4,False
54200,15,8,False
85984,15,8,False
3040b,15,20,False
3039,15,17,False
3045,15,12,False
3038,15,4,False
3037,15,2,False
50950,15,24,False
4287b,15,8,False
3665,15,2,False
3660,15,7,False
32013,15,1,False
3703,15,2,False
3700,15,4,False
3701,15,10,False
3894,15,2,False
3702,15,2,False
3070b,15,10,False
3069b,15,25,False
63864,15,6,False
2431,15,11,False
6636,15,38,False
4162,15,8,False
3068b,15,3,False
3245c,14,2,False
2456,14,2,False
52107,14,2,False
30414,14,7,False
3022,14,2,False
3020,14,2,False
60474,14,1,False
64799,14,1,False
32039,14,1,False
42003,14,10,False
32524,14,4,False
3702,14,10,False
63864,14,4,False
71942,9999,1,False
