Part,Color,Quantity,Is Spare
30374,0,2,False
3010,0,3,False
49311pr0009,0,1,False
3007,0,1,False
26604,0,4,False
30383,0,2,False
54657,0,2,False
75902,0,1,False
3710,0,2,False
4282,0,1,False
15397,0,2,False
85861,0,1,False
11833,0,2,False
15573,0,2,False
99206,0,6,False
6178,0,1,False
32803,0,2,False
15068,0,1,False
24309,0,3,False
13547,0,2,False
3705,0,1,False
3706,0,2,False
18651,0,2,False
32013,0,1,False
32034,0,2,False
32184,0,4,False
60483,0,1,False
32316,0,5,False
32064a,0,6,False
62462,0,6,False
61332,0,72,False
6636,0,2,False
3068b,0,1,False
61485,0,1,False
43093,1,30,False
41677,1,1,False
6632,1,16,False
4274,1,40,False
65487,1,18,False
42924,1,37,False
3005,272,2,False
3004,272,20,False
3010,272,2,False
3009,272,3,False
2357,272,5,False
87087,272,1,False
3960,272,1,False
6231,272,8,False
4865b,272,8,False
3024,272,40,False
3023,272,19,False
3623,272,12,False
3710,272,3,False
3666,272,2,False
3022,272,14,False
2420,272,25,False
3021,272,2,False
3020,272,17,False
3034,272,1,False
11212,272,4,False
3958,272,2,False
15573,272,1,False
11458,272,4,False
41740,272,1,False
87580,272,2,False
54200,272,13,False
85984,272,2,False
28192,272,6,False
11477,272,6,False
11153,272,4,False
3070b,272,18,False
3069b,272,9,False
6636,272,4,False
87079,272,2,False
2412b,272,4,False
36840,72,4,False
99781,72,16,False
3001,72,2,False
87087,72,8,False
28974,72,1,False
14718,72,2,False
3666,72,9,False
3022,72,5,False
3795,72,1,False
3031,72,1,False
3032,72,2,False
3035,72,1,False
85861,72,8,False
6141,72,2,False
2654,72,12,False
60897,72,1,False
35480,72,2,False
48336,72,1,False
60478,72,2,False
10247,72,6,False
18674,72,3,False
61409,72,1,False
59426,72,2,False
11214,72,9,False
41239,72,2,False
40490,72,8,False
60484,72,2,False
39790,72,2,False
32000,72,4,False
3701,72,4,False
3069b,72,1,False
26603,72,1,False
15712,72,2,False
3460,28,6,False
3020,28,1,False
2476a,28,4,False
6587,28,1,False
30367cpr1020,179,1,False
59900,179,1,False
53586,179,2,False
62462,179,1,False
2412b,179,26,False
48729b,71,1,False
92690,71,2,False
30374,71,2,False
63965,71,2,False
36841,71,4,False
99207,71,2,False
3005,71,12,False
3004,71,9,False
3622,71,6,False
3010,71,12,False
3009,71,3,False
2357,71,7,False
3002,71,2,False
68325,71,2,False
60476,71,4,False
4070,71,4,False
22885,71,1,False
64644,71,2,False
6231,71,1,False
4865b,71,4,False
87552,71,2,False
3024,71,18,False
4477,71,6,False
3023,71,52,False
3623,71,5,False
3710,71,32,False
3666,71,27,False
3460,71,4,False
3832,71,1,False
3022,71,9,False
2420,71,20,False
3021,71,11,False
3795,71,1,False
3034,71,3,False
3030,71,1,False
3035,71,2,False
3036,71,3,False
85861,71,8,False
4032a,71,8,False
30357,71,1,False
61252,71,2,False
35480,71,21,False
15573,71,10,False
60478,71,6,False
18677,71,6,False
34103,71,4,False
87580,71,2,False
33909,71,6,False
54200,71,17,False
85984,71,3,False
4286,71,3,False
15672,71,3,False
28192,71,6,False
3040b,71,24,False
3678b,71,2,False
24201,71,2,False
11477,71,2,False
50950,71,6,False
93273,71,7,False
11153,71,16,False
4519,71,2,False
32073,71,4,False
32525,71,10,False
32278,71,2,False
61408,71,2,False
64179,71,2,False
3700,71,2,False
32000,71,1,False
32064a,71,3,False
32123b,71,6,False
35186,71,3,False
4274,71,3,False
61184,71,1,False
65487,71,2,False
62462,71,4,False
65304,71,9,False
3673,71,16,False
24246,71,40,False
3070b,71,10,False
3069b,71,9,False
63864,71,11,False
2431,71,3,False
3068b,71,2,False
35787,71,1,False
98138,71,12,False
14769,71,2,False
15712,71,6,False
2412b,71,2,False
27263,71,4,False
11203,71,8,False
64567,71,2,False
30503,71,2,False
42610,71,3,False
60208,71,2,False
28326,71,4,False
3004,27,2,False
32525,27,4,False
32523,27,3,False
32524,27,2,False
32140,27,8,False
96874,25,1,False
63965,297,1,False
