Part,Color,Quantity,Is Spare
78258,0,1,False
87994,0,2,False
36841,0,4,False
99207,0,4,False
41682,0,43,False
11215,0,4,False
6111,0,2,False
6112,0,1,False
2465,0,29,False
3004,0,16,False
3622,0,2,False
3010,0,1,False
3008,0,14,False
3002,0,9,False
3001,0,2,False
3007,0,38,False
6005,0,2,False
49307,0,8,False
6091,0,1,False
79756,0,68,False
13731,0,1,False
79757,0,8,False
42023,0,2,False
60476,0,1,False
2921,0,1,False
22885,0,1,False
30414,0,14,False
3024,0,8,False
4477,0,7,False
60479,0,5,False
3023,0,23,False
3623,0,2,False
3710,0,4,False
3460,0,24,False
2445,0,2,False
91988,0,1,False
3022,0,1,False
2420,0,1,False
3020,0,4,False
3795,0,2,False
3034,0,11,False
11212,0,3,False
3030,0,12,False
3031,0,1,False
3032,0,4,False
3035,0,2,False
3027,0,2,False
11213,0,1,False
26047,0,1,False
11458,0,2,False
18674,0,1,False
4286,0,3,False
4161,0,8,False
99301,0,4,False
3297,0,30,False
28192,0,2,False
3040b,0,2,False
11477,0,2,False
13547,0,8,False
3665,0,1,False
3676,0,4,False
3660,0,76,False
59443,0,1,False
32278,0,1,False
11478,0,2,False
6541,0,2,False
3700,0,2,False
67139,0,1,False
65487,0,8,False
65304,0,1,False
61332,0,1,False
4162,0,1,False
14719,0,1,False
27925,0,4,False
3068b,0,6,False
87079,0,1,False
25269,0,2,False
11203,0,2,False
44728,1,14,False
3010,1,2,False
3008,1,1,False
3024,1,8,False
3023,1,3,False
3710,1,223,False
3666,1,9,False
3020,1,2,False
3029,1,2,False
3032,1,1,False
4032a,1,3,False
60474,1,2,False
30565,1,7,False
87609,1,1,False
93273,1,5,False
11153,1,3,False
4162,1,4,False
27925,1,6,False
2412b,1,5,False
24307,1,2,False
43722,1,1,False
54383,1,1,False
6091,212,3,False
78666,212,3,False
70681,212,12,False
3024,212,26,False
3710,212,11,False
30565,212,2,False
54200,212,7,False
3049c,212,3,False
24201,212,22,False
11153,212,5,False
35464,212,4,False
24482,212,1,False
3024,191,1,False
98138,191,15,False
36840,226,6,False
99781,226,4,False
44375bpr0013,226,1,False
3024,226,18,False
3023,226,26,False
3710,226,17,False
3022,226,5,False
11477,226,15,False
3665,226,1,False
3004,321,1,False
3010,321,2,False
3023,321,15,False
3710,321,142,False
15573,321,4,False
6091,272,3,False
3024,272,7,False
3023,272,49,False
3623,272,5,False
3710,272,60,False
3666,272,2,False
3022,272,6,False
3021,272,8,False
3020,272,3,False
30357,272,1,False
30565,272,3,False
15573,272,2,False
54200,272,5,False
3040b,272,4,False
50950,272,6,False
11153,272,4,False
3665,272,1,False
3069b,272,1,False
4162,272,3,False
27925,272,6,False
25269,272,5,False
54383,272,4,False
3622,72,5,False
3003,72,1,False
54657,72,4,False
23950,72,4,False
3024,72,2,False
4477,72,1,False
3023,72,2,False
2420,72,1,False
15092,72,1,False
3020,72,1,False
60897,72,2,False
18677,72,2,False
18674,72,9,False
6060,308,1,False
3024,308,7,False
3710,308,12,False
6141,308,27,False
50950,308,15,False
93273,308,11,False
6091,288,7,False
3024,288,5,False
3023,288,38,False
3623,288,5,False
3666,288,13,False
11212,288,4,False
4032a,288,29,False
44861,288,2,False
11477,288,9,False
25269,288,31,False
22885,484,4,False
970c00pr2308,484,1,False
3023,484,3,False
60897,484,2,False
3043,484,1,False
35464,484,2,False
60478,28,1,False
6587,28,4,False
3070b,28,2,False
25269,3,14,False
3010,323,2,False
3024,323,23,False
3023,323,42,False
3623,323,5,False
3710,323,35,False
3020,323,1,False
11477,323,12,False
3665,323,1,False
99207,71,8,False
3005,71,1,False
4070a,71,1,False
4216,71,3,False
44301b,71,4,False
3024,71,1,False
3021,71,2,False
85861,71,1,False
61252,71,1,False
78256,71,1,False
99206,71,4,False
4274,71,2,False
20482,71,1,False
15712,71,2,False
3626cpr3721,78,1,False
3003,322,4,False
3960pr0041,322,2,False
973c42h02pr6089,322,1,False
3623,322,5,False
3710,322,38,False
3666,322,8,False
4032a,322,13,False
50950,322,8,False
27925,322,2,False
36841,73,19,False
3622,73,2,False
3024,73,15,False
3023,73,52,False
3623,73,5,False
3710,73,10,False
3666,73,2,False
3022,73,7,False
2420,73,5,False
11477,73,8,False
3665,73,1,False
14719,73,1,False
25269,73,6,False
93551pr0002,84,1,False
78329,84,2,False
3024,326,3,False
3023,326,11,False
3623,326,14,False
3666,326,5,False
6141,326,42,False
11477,326,1,False
27925,326,2,False
26601,326,4,False
96874,25,1,False
92081,25,1,False
6141,25,5,False
4871,25,4,False
3001,4,3,False
3020,4,1,False
32062,4,1,False
87994,70,2,False
11090,70,3,False
44728,70,6,False
3005,70,1,False
3004,70,1,False
3009,70,2,False
2877,70,1,False
93552pat0003,70,1,False
3023,70,1,False
3623,70,13,False
3022,70,2,False
3032,70,2,False
85861,70,2,False
92692,70,1,False
60478,70,1,False
85984,70,2,False
4286,70,1,False
24201,70,10,False
11153,70,4,False
6636,70,5,False
99563,70,6,False
70681,378,2,False
2420,378,2,False
4032a,378,13,False
85984,378,2,False
35464,19,1,False
32002,19,2,False
4740,33,1,False
43898pr0021,33,2,False
43898pr0022,41,3,False
4216,15,2,False
3960pr0040,15,2,False
3623,15,1,False
60897,15,1,False
60478,15,1,False
99206,15,1,False
6179pr0033,15,1,False
25269,15,7,False
3003,14,1,False
3002,14,1,False
67329,14,2,False
4740,14,1,False
10247,14,1,False
3700,14,1,False
