Part,Color,Quantity,Is Spare
4735,0,1,False
87994,0,8,False
30374,0,2,False
11090,0,2,False
99781,0,4,False
99780,0,6,False
41682,0,6,False
64570,0,1,False
3010,0,26,False
3009,0,8,False
3008,0,8,False
3002,0,2,False
3001,0,6,False
2456,0,1,False
3007,0,6,False
3659,0,14,False
13731,0,6,False
3062b,0,8,False
87081,0,8,False
68325,0,4,False
87087,0,16,False
30136,0,6,False
11211,0,16,False
52107,0,32,False
33078,0,3,False
3937,0,4,False
53923,0,2,False
57360,0,2,False
44301b,0,2,False
54657,0,1,False
28974,0,284,False
6231,0,2,False
3024,0,10,False
60479,0,8,False
3023,0,142,False
3623,0,6,False
3710,0,25,False
3666,0,18,False
3832,0,8,False
2445,0,21,False
3022,0,2,False
3795,0,11,False
3034,0,4,False
3030,0,2,False
3029,0,1,False
3031,0,1,False
32828,0,4,False
85861,0,4,False
6141,0,18,False
26047,0,11,False
4081b,0,8,False
60897,0,1,False
35480,0,171,False
15573,0,2,False
11476,0,24,False
18677,0,4,False
3176,0,31,False
61409,0,4,False
54200,0,9,False
85984,0,96,False
4286,0,6,False
3298,0,46,False
4161,0,4,False
3297,0,2,False
15672,0,4,False
28192,0,6,False
3040b,0,5,False
3039,0,17,False
4445,0,4,False
60481,0,5,False
3678b,0,18,False
11477,0,2,False
29120,0,1,False
29119,0,1,False
15068,0,2,False
93273pr0019,0,1,False
11153,0,2,False
93606,0,6,False
42918,0,10,False
3665,0,1,False
14226c31,0,13,False
14226c41,0,4,False
50451,0,2,False
3705,0,3,False
59443,0,2,False
18651,0,3,False
3895,0,1,False
32018,0,7,False
3700,0,3,False
3701,0,1,False
32532,0,1,False
3713,0,1,False
66906,0,2,False
61332,0,25,False
3738,0,2,False
3069b,0,16,False
63864,0,4,False
2431,0,14,False
6636,0,22,False
15535,0,7,False
3068b,0,74,False
26603,0,12,False
26603pr0060,0,2,False
87079,0,20,False
69729,0,2,False
98138,0,2,False
2432,0,12,False
50955,0,5,False
50956,0,5,False
41748,0,1,False
41747,0,1,False
41750,0,1,False
41749,0,1,False
78443,0,1,False
78444,0,1,False
43721,0,2,False
43720,0,2,False
3010,1,8,False
2456,1,6,False
3062b,1,35,False
87087,1,2,False
3023,1,10,False
3710,1,70,False
3460,1,7,False
3832,1,2,False
3022,1,10,False
2420,1,10,False
3020,1,16,False
3795,1,4,False
3034,1,21,False
6141,1,32,False
2540,1,2,False
15573,1,31,False
63868,1,2,False
41740,1,1,False
3660,1,27,False
43093,1,5,False
3895,1,4,False
3700,1,2,False
4274,1,3,False
42924,1,3,False
32124,1,12,False
63864,1,2,False
6636,1,2,False
